K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,1.98177,1,5.5,0.1818181818181818,3.743295876133008e-13,4.2240977334891174e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.6,0.1785714285714285,3.801919806933226e-13,4.240227298516388e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.7,0.175438596491228,3.8634651568713677e-13,4.2610397278991204e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.8,0.1724137931034483,3.927557593470397e-13,4.286038725736745e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.9,0.1694915254237288,3.9938396354270324e-13,4.314766537220271e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.0,0.1666666666666666,4.061967293057944e-13,4.346796374993367e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.1,0.1639344262295081,4.131610096014118e-13,4.3817298439708886e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.2,0.1612903225806451,4.202450723738124e-13,4.4191940712310606e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.3,0.1587301587301587,4.274184858201965e-13,4.458839366494481e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.4,0.15625,4.346521229605257e-13,4.5003373489431593e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.5,0.1538461538461538,4.419181816477149e-13,4.5433794724450284e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.6,0.1515151515151515,4.49190215922326e-13,4.587675882218451e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.7,0.1492537313432836,4.564431746813559e-13,4.632954540056863e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.8,0.1470588235294117,4.636534436997982e-13,4.678960559458153e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,6.9,0.144927536231884,4.707988874689718e-13,4.725455698488232e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.0,0.1428571428571428,4.778588877427649e-13,4.772217964204416e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.1,0.1408450704225352,4.848143761357007e-13,4.819041288935576e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.2,0.1388888888888889,4.916478586338516e-13,4.865735244663698e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.3,0.136986301369863,4.983434304150892e-13,4.912124768178822e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.4,0.1351351351351351,5.04886779915815e-13,4.958049875286583e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.5,0.1333333333333333,5.112651814409765e-13,5.00336534726874e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.6,0.131578947368421,5.174676567118384e-13,5.047941641423953e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.7,0.1298701298701298,5.234842449567716e-13,5.09165958085954e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.8,0.1282051282051282,5.29306979503932e-13,5.134417076342192e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,7.9,0.1265822784810126,5.34929178052332e-13,5.17612396586201e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,8.0,0.125,5.403455425096286e-13,5.216702604009319e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,8.1,0.1234567901234568,5.455520911900514e-13,5.256087270150387e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,8.2,0.1219512195121951,5.50546084418075e-13,5.294223537813606e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,8.3,0.1204819277108433,5.553259451204267e-13,5.33106761341599e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,8.4,0.119047619047619,5.598911755808693e-13,5.366585651097612e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,8.5,0.1176470588235294,5.642422717656184e-13,5.400753051917692e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,8.6,0.1162790697674418,5.683806364375994e-13,5.433553755407174e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
