K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,1,0.1009,1.3000000000000005,0.769230769230769,5.362032527345441e-13,5.346407741776462e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,1.4,0.7142857142857142,5.377212968190792e-13,5.361413998404834e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,1.5000000000000002,0.6666666666666665,5.364248227844844e-13,5.369766865063555e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,1.6,0.625,5.317638133129902e-13,5.337032377038887e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,1.7000000000000002,0.588235294117647,5.347509995111386e-13,5.362813675074156e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,1.8000000000000005,0.5555555555555555,5.378969864480936e-13,5.379586599001094e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,1.9,0.5263157894736842,5.369297718703206e-13,5.355472600393238e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.0,0.5,5.359812732019938e-13,5.33761177490376e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.1,0.4761904761904761,5.370906446080665e-13,5.348922826001999e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.2,0.4545454545454545,5.385568906523038e-13,5.370869945305171e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.3000000000000003,0.4347826086956521,5.383766645690638e-13,5.380057752201093e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.4000000000000004,0.4166666666666666,5.364142364915621e-13,5.371389354787518e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.5000000000000004,0.3999999999999999,5.339330186991616e-13,5.354736674232087e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.6,0.3846153846153846,5.321313713114588e-13,5.341493764098507e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.7,0.3703703703703703,5.316235996490605e-13,5.337886383457098e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.8000000000000003,0.3571428571428571,5.323101172001063e-13,5.343636456144545e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,2.9000000000000004,0.3448275862068965,5.337150213591904e-13,5.354786503957209e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.0000000000000004,0.3333333333333332,5.352941325656928e-13,5.366583426348461e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.1,0.3225806451612903,5.366295044589159e-13,5.375367387575111e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.2,0.3125,5.37501197407113e-13,5.37930336905648e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.3000000000000003,0.303030303030303,5.37871515875965e-13,5.378260829587293e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.4000000000000004,0.2941176470588235,5.378827997569938e-13,5.373612389246999e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.5000000000000004,0.2857142857142857,5.375527105762897e-13,5.366086505854564e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.6,0.2777777777777778,5.371060057859946e-13,5.357802266457692e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1009,3.7,0.2702702702702703,5.36668970878707e-13,5.350084781352758e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
