K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
0.8,1,1,1,6.1,0.1639344262295081,5.32895828176383e-13,5.320211834287479e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.2,0.1612903225806451,5.328460732759787e-13,5.320635147323296e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.3,0.1587301587301587,5.327999052412236e-13,5.321004237260318e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.4,0.15625,5.327601295367623e-13,5.321347012089047e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.5,0.1538461538461538,5.327290734806499e-13,5.321687840196173e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.6,0.1515151515151515,5.327086037302188e-13,5.32204748722237e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.7,0.1492537313432836,5.327001556230987e-13,5.322443198417319e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.8,0.1470588235294117,5.327047699273931e-13,5.32288888179371e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.9,0.144927536231884,5.327231336264036e-13,5.323395357043969e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.0,0.1428571428571428,5.327556222383158e-13,5.32397064307682e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.1,0.1408450704225352,5.328023417763723e-13,5.324620263518825e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.2,0.1388888888888889,5.32863169063537e-13,5.325347554805398e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.3,0.136986301369863,5.329377895272652e-13,5.326153966200897e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.4,0.1351351351351351,5.330257319934545e-13,5.32703934440121e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.5,0.1333333333333333,5.331264001180779e-13,5.328002197681683e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.6,0.131578947368421,5.332395928505176e-13,5.329044849746739e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.7,0.1298701298701298,5.333635888078728e-13,5.330154278530128e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.8,0.1282051282051282,5.334980350834634e-13,5.331330976823879e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,7.9,0.1265822784810126,5.336420826718524e-13,5.332570272891976e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.0,0.125,5.337948659643868e-13,5.333867125763899e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.1,0.1234567901234568,5.339555160349076e-13,5.335216252398174e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.2,0.1219512195121951,5.341231715462286e-13,5.336612235226253e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.3,0.1204819277108433,5.342969877373436e-13,5.338049613030778e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.4,0.119047619047619,5.344761435894854e-13,5.339522956173826e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.5,0.1176470588235294,5.346598474692971e-13,5.34102692822822e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.6,0.1162790697674418,5.348473414292571e-13,5.34255633568085e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.7,0.1149425287356321,5.350379043585358e-13,5.344106167049174e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.8,0.1136363636363636,5.352308541514816e-13,5.345671622939937e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,8.9,0.1123595505617977,5.35425549054195e-13,5.347248138318373e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.0,0.1111111111111111,5.356213883472516e-13,5.348831398290022e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.1,0.1098901098901099,5.358178124003734e-13,5.350417347951394e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.2,0.108695652173913,5.360143023004076e-13,5.352002197747504e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.3,0.1075268817204301,5.362103791144564e-13,5.353582424971175e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.4,0.1063829787234042,5.364056027926569e-13,5.355154771781011e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.5,0.1052631578947368,5.365995709307002e-13,5.356716241013085e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.6,0.1041666666666666,5.367919172417883e-13,5.358264089446062e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.7,0.1030927835051546,5.369823100006129e-13,5.359795819823979e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.8,0.1020408163265305,5.371704503777537e-13,5.361309171632836e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,9.9,0.101010101010101,5.373560706602856e-13,5.36280211058156e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,10.0,0.1,5.376146247314303e-13,5.36477660258653e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
1.2000000000000002,1,1,1,0.1,10.0,5.331359794063811e-13,5.331380875781332e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,0.2,5.0,5.334803002155827e-13,5.331466305859707e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,0.3,3.3333333333333326,5.366607940539603e-13,5.363078948047857e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,0.4,2.5,5.328979208356242e-13,5.331643876614076e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,0.5,2.0,5.331823454920431e-13,5.330781074016275e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,0.6,1.6666666666666667,5.366484717133651e-13,5.362413360805118e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,0.7000000000000001,1.4285714285714284,5.377607304568633e-13,5.367409746691585e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,0.8,1.25,5.348268181705182e-13,5.320550039310891e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,0.9,1.1111111111111112,5.322434419153299e-13,5.32174976767174e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.0,1.0,5.332721458186884e-13,5.31066017673509e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.1,0.909090909090909,5.316400773011035e-13,5.330008887200868e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.2000000000000002,0.8333333333333331,5.305223406191607e-13,5.335684600439548e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.3000000000000005,0.769230769230769,5.297131466059159e-13,5.318174794560744e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.4,0.7142857142857142,5.287182779465307e-13,5.322271048363498e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,1.5000000000000002,0.6666666666666665,5.26178136421612e-13,5.327510694060017e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
