K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,0.5,1,9.0,0.1111111111111111,4.960547499167878e-13,5.143582468744074e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.1,0.1098901098901099,4.954527935513781e-13,5.137019838541467e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.2,0.108695652173913,4.949260361630528e-13,5.13106334422133e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.3,0.1075268817204301,4.944692652712176e-13,5.125674819315632e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.4,0.1063829787234042,4.940775948718989e-13,5.120818217283367e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.5,0.1052631578947368,4.937464467761314e-13,5.116459521555611e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.6,0.1041666666666666,4.934715325826061e-13,5.112566653817125e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.7,0.1030927835051546,4.932488365449867e-13,5.109109382727969e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.8,0.1020408163265305,4.930745992265606e-13,5.106059233554062e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,9.9,0.101010101010101,4.929453019230208e-13,5.103389399168376e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,10.0,0.1,4.928741350496655e-13,5.10091089676003e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,2.0,1,0.1,10.0,5.331438515542844e-13,5.331464398355395e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,0.2,5.0,5.334573525761448e-13,5.331336222266184e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,0.3,3.3333333333333326,5.366547094020559e-13,5.363026936710202e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,0.4,2.5,5.331554374465907e-13,5.333608461788444e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,0.5,2.0,5.327054939402297e-13,5.329022745570613e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,0.6,1.6666666666666667,5.363688874538503e-13,5.352588036944295e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,0.7000000000000001,1.4285714285714284,5.360812990554566e-13,5.336167520129535e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,0.8,1.25,5.447341779037318e-13,5.27175734795641e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,0.9,1.1111111111111112,5.371470122930017e-13,5.187968275991818e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.0,1.0,5.471426328286737e-13,5.155391865339572e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.1,0.909090909090909,5.460965729145051e-13,5.05522575175634e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.2000000000000002,0.8333333333333331,5.461155123587212e-13,5.008956312226052e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.3000000000000005,0.769230769230769,5.337538812704862e-13,4.783462317472803e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.4,0.7142857142857142,5.244080319175669e-13,4.631400581674399e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.5000000000000002,0.6666666666666665,5.487599387915603e-13,4.846837911834158e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.6,0.625,5.325112715508897e-13,4.81320310171666e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.7000000000000002,0.588235294117647,4.738720878064114e-13,4.4517196381672445e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.8000000000000005,0.5555555555555555,4.2435549098941844e-13,4.143880301295645e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,1.9,0.5263157894736842,4.032247928317554e-13,4.078925358659784e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.0,0.5,4.0342754641485617e-13,4.254789095663406e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.1,0.4761904761904761,4.0034391566100106e-13,4.484908806109839e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,1,2.0,1,2.2,0.4545454545454545,3.7218549579361516e-13,4.528851404764349e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
