K_E,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1.09111,6.0,0.1666666666666666,5.233902402903133e-13,5.257906041119789e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.1,0.1639344262295081,5.237233096920401e-13,5.26075932077502e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.2,0.1612903225806451,5.240263127971844e-13,5.263331933043971e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.3,0.1587301587301587,5.243036721619395e-13,5.26565874214952e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.4,0.15625,5.245595152443948e-13,5.267773485543225e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.5,0.1538461538461538,5.247976185030826e-13,5.269707986316207e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.6,0.1515151515151515,5.250213779182843e-13,5.27149164365549e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.7,0.1492537313432836,5.252337995882368e-13,5.273151140480519e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.8,0.1470588235294117,5.254375051026947e-13,5.274710316835835e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,6.9,0.144927536231884,5.256347473564035e-13,5.276190166304168e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.0,0.1428571428571428,5.258274334478922e-13,5.277608920960363e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.1,0.1408450704225352,5.260171518675014e-13,5.278982197123836e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.2,0.1388888888888889,5.262052020631479e-13,5.28032318049757e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.3,0.136986301369863,5.263926246539637e-13,5.281642833307724e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.4,0.1351351351351351,5.265802313684581e-13,5.282950111896729e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.5,0.1333333333333333,5.26768633734763e-13,5.284252184348546e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.6,0.131578947368421,5.269582701643526e-13,5.285554642713875e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.7,0.1298701298701298,5.2714943098929e-13,5.286861704383446e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.8,0.1282051282051282,5.27342281339058e-13,5.288176400271574e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,7.9,0.1265822784810126,5.275368817798307e-13,5.289500747836505e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.0,0.125,5.277332067450093e-13,5.290835908436866e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.1,0.1234567901234568,5.279311608950213e-13,5.29218232897044e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.2,0.1219512195121951,5.281305933746716e-13,5.29353986764085e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.3,0.1204819277108433,5.283313103089902e-13,5.29490790545533e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,8.4,0.119047619047619,5.285330855281115e-13,5.29628544364037e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
