K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,1,0.309871,6.1,0.1639344262295081,5.358492599028761e-13,5.369041693185447e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,6.2,0.1612903225806451,5.354330057229078e-13,5.36659088201629e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,6.3,0.1587301587301587,5.350239259355015e-13,5.364072241577955e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,6.4,0.15625,5.346267428775767e-13,5.361533969893049e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,6.5,0.1538461538461538,5.342453471327275e-13,5.359017481414926e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,6.6,0.1515151515151515,5.338828581156064e-13,5.356557697140431e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,6.7,0.1492537313432836,5.335416936885617e-13,5.354183465212006e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,6.8,0.1470588235294117,5.332236439343097e-13,5.351918061182077e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,6.9,0.144927536231884,5.329299454403387e-13,5.349779728992328e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.0,0.1428571428571428,5.326613535741876e-13,5.347782233720848e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.1,0.1408450704225352,5.324182109784333e-13,5.345935405539164e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.2,0.1388888888888889,5.322005111962751e-13,5.344245659977598e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.3,0.136986301369863,5.320079567484029e-13,5.342716485092514e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.4,0.1351351351351351,5.318400115410597e-13,5.341348890500162e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.5,0.1333333333333333,5.316959474164527e-13,5.340141814579297e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.6,0.131578947368421,5.315748852283727e-13,5.33909249026393e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.7,0.1298701298701298,5.314758306079706e-13,5.33819676947278e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.8,0.1282051282051282,5.313995632170477e-13,5.337467115491178e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,7.9,0.1265822784810126,5.313412820875132e-13,5.336862557727501e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.0,0.125,5.313016204032133e-13,5.336393541313962e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.1,0.1234567901234568,5.312793895434239e-13,5.336052895792813e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.2,0.1219512195121951,5.312733998167632e-13,5.335833158962388e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.3,0.1204819277108433,5.312824733486007e-13,5.335726708915099e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.4,0.119047619047619,5.313054544119784e-13,5.335725873646037e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.5,0.1176470588235294,5.313412176844237e-13,5.335823021584467e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.6,0.1162790697674418,5.313886746707061e-13,5.336010635393273e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.7,0.1149425287356321,5.314467785726749e-13,5.33628137113434e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.8,0.1136363636363636,5.315145278021148e-13,5.33662810476403e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,8.9,0.1123595505617977,5.315909684230184e-13,5.337043968048207e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.0,0.1111111111111111,5.316751956267233e-13,5.337522375179547e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.1,0.1098901098901099,5.317663544284119e-13,5.338057041608281e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.2,0.108695652173913,5.31863639729489e-13,5.338641996330174e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.3,0.1075268817204301,5.319662958750958e-13,5.339271588858428e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.4,0.1063829787234042,5.32073615751088e-13,5.339940491444594e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.5,0.1052631578947368,5.321849396354753e-13,5.340643697987227e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.6,0.1041666666666666,5.322996536413982e-13,5.341376519257113e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.7,0.1030927835051546,5.324171881324351e-13,5.342134576528853e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.8,0.1020408163265305,5.325370159197039e-13,5.342913792867665e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,9.9,0.101010101010101,5.326586503260601e-13,5.343710382934763e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,10.0,0.1,5.327701668566507e-13,5.343970663029319e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.1,10.0,5.33170922570276e-13,5.331735753581591e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.2,5.0,5.335197720131289e-13,5.331843583696946e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.3,3.3333333333333326,5.367068085384218e-13,5.363562436245113e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.4,2.5,5.32960357246576e-13,5.332230232346731e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.5,2.0,5.331877582696084e-13,5.332021868538574e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.6,1.6666666666666667,5.366849328252208e-13,5.36681019260433e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.7000000000000001,1.4285714285714284,5.374043525427926e-13,5.373971455471116e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.8,1.25,5.34690875086159e-13,5.333855543415845e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,0.9,1.1111111111111112,5.3253297817695e-13,5.338306494564142e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.192288,1.0,1.0,5.348628632059834e-13,5.33168178648591e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
