K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,0.5,1,1,8.5,0.1176470588235294,5.716483452700246e-13,5.814134572860528e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,8.6,0.1162790697674418,5.693564655508377e-13,5.794485562132278e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,8.7,0.1149425287356321,5.672233595439293e-13,5.776060645963973e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,8.8,0.1136363636363636,5.652387338050943e-13,5.758788072786745e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,8.9,0.1123595505617977,5.633928321404182e-13,5.742598930454177e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.0,0.1111111111111111,5.616764316674796e-13,5.727427300165142e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.1,0.1098901098901099,5.600808329471811e-13,5.713210340357654e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.2,0.108695652173913,5.585978458742546e-13,5.699888316347453e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.3,0.1075268817204301,5.572197724929045e-13,5.687404587534777e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.4,0.1063829787234042,5.559393876026304e-13,5.675705561538075e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.5,0.1052631578947368,5.547499181306501e-13,5.664740624298419e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.6,0.1041666666666666,5.53645021576046e-13,5.654462051209687e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.7,0.1030927835051546,5.526187642777716e-13,5.64482490582224e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.8,0.1020408163265305,5.51665599675614e-13,5.63578692945074e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,9.9,0.101010101010101,5.50780346835226e-13,5.627308424895146e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,10.0,0.1,5.500133311066769e-13,5.619111383506346e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
